Batch Status,Count
FAILED,1
OK,4
FAILED,1
OK,5
Emergency Failure,1
OK,2
FAILED,1
Maintenance,2
FAILED,1
OK,7
Emergency Failure,1
OK,2
Maintenance,3
Emergency Failure,2
OK,1
FAILED,1
Maintenance,2
FAILED,2
Maintenance,1
OK,5
FAILED,2
OK,4
FAILED,1
Maintenance,1
OK,2
Emergency Failure,1
OK,2
Maintenance,1
OK,6
Maintenance,1
OK,1
FAILED,1
Maintenance,1
OK,6
FAILED,1
OK,2
Maintenance,1
OK,3
FAILED,1
OK,18
Maintenance,1
OK,1
FAILED,1
Maintenance,1
FAILED,1
Maintenance,1
OK,2
FAILED,1
Maintenance,1
OK,2
Maintenance,1
OK,1
Maintenance,1
OK,2
FAILED,2
OK,2
FAILED,1
OK,3
Maintenance,1
OK,1
Maintenance,1
OK,2
FAILED,1
Maintenance,2
FAILED,1
Maintenance,1
FAILED,1
Maintenance,1
OK,1
FAILED,2
OK,2
FAILED,2
Maintenance,1
FAILED,1
OK,3
Maintenance,2
OK,5
FAILED,3
OK,1
FAILED,1
Emergency Failure,2
Maintenance,1
OK,1
Maintenance,1
OK,7
Maintenance,1
OK,7
Maintenance,1
OK,7
Maintenance,1
OK,3
FAILED,1
Emergency Failure,6
Maintenance,1
Emergency Failure,3
Maintenance,1
Emergency Failure,1
Maintenance,3
OK,1
FAILED,1
Emergency Failure,1
Maintenance,2
OK,1
FAILED,1
Maintenance,1
OK,1
FAILED,1
OK,3
Maintenance,1
OK,1
FAILED,2
OK,1
FAILED,1
Maintenance,2
OK,1
FAILED,2
OK,1
Maintenance,1
OK,2
Maintenance,2
OK,2
Maintenance,2
OK,3
Maintenance,2
OK,6
Maintenance,1
OK,5
Maintenance,1
OK,6
FAILED,2
OK,1
Maintenance,2
OK,4
Maintenance,1
OK,7
Maintenance,1
OK,2
Maintenance,2
OK,5
FAILED,1
OK,2
Maintenance,1
OK,7
Maintenance,2
OK,7
Maintenance,1
OK,4
Maintenance,2
OK,8
Maintenance,2
OK,5
Maintenance,2
OK,4
Maintenance,2
OK,1
FAILED,1
OK,2
Maintenance,2
OK,3
Maintenance,2
OK,2
FAILED,1
OK,2
Maintenance,2
OK,3
Maintenance,2
OK,3
Maintenance,1
OK,2
Maintenance,5
OK,6
Maintenance,2
OK,2
Maintenance,2
OK,1
FAILED,1
Maintenance,2
OK,4
Maintenance,2
OK,7
Maintenance,2
OK,7
Maintenance,2
OK,1
FAILED,1
OK,1
Maintenance,2
OK,9
Maintenance,2
OK,7
Maintenance,2
OK,8
FAILED,1
OK,1
Maintenance,1
OK,8
Maintenance,2
OK,4
Maintenance,2
OK,3
Maintenance,1
OK,6
Maintenance,2
OK,5
Maintenance,2
OK,1
FAILED,2
OK,1
FAILED,1
OK,8
Maintenance,1
OK,6
Maintenance,2
OK,8
Maintenance,2
OK,5
Maintenance,2
OK,3
Maintenance,2
OK,5
Maintenance,2
OK,5
Maintenance,2
OK,1
FAILED,1
OK,16
Maintenance,1
OK,23
Maintenance,1
OK,21
Maintenance,1
OK,49
Maintenance,1
OK,9
FAILED,1
OK,14
Maintenance,1
OK,19
Maintenance,1
OK,3
Maintenance,1
OK,27
Maintenance,1
OK,18
Maintenance,1
OK,20
Maintenance,1
OK,16
Maintenance,1
OK,23
Maintenance,1
OK,7
FAILED,1
OK,1
Maintenance,2
OK,1
FAILED,1
OK,2
FAILED,1
OK,2
FAILED,1
OK,6
Maintenance,1
OK,1
FAILED,1
OK,1
FAILED,1
OK,3
FAILED,1
OK,20
FAILED,2
OK,1
Maintenance,1
OK,1
Maintenance,1
OK,18
Maintenance,1
OK,10
Maintenance,1
OK,13
Maintenance,1
OK,5
FAILED,1
OK,10
Maintenance,2
OK,6
FAILED,1
OK,2
Maintenance,2
OK,4
Maintenance,2
OK,3
FAILED,1
OK,1
FAILED,1
OK,2
Maintenance,2
OK,3
Maintenance,2
OK,4
Maintenance,2
OK,6
Maintenance,2
OK,9
Maintenance,2
OK,16
Maintenance,2
OK,7
Maintenance,2
OK,4
Maintenance,2
OK,17
Maintenance,2
OK,5
Maintenance,1
OK,24
FAILED,1
OK,3
Maintenance,1
OK,24
Maintenance,1
OK,18
FAILED,1
OK,12
Maintenance,1
OK,7
FAILED,2
OK,3
FAILED,1
OK,14
Maintenance,2
OK,3
Maintenance,1
OK,2
FAILED,1
OK,6
FAILED,2
OK,2
FAILED,1
OK,1
FAILED,1
OK,1
Maintenance,3
OK,8
Maintenance,2
OK,7
Maintenance,1
OK,5
Maintenance,2
OK,3
Maintenance,1
OK,19
Maintenance,2
OK,9
Maintenance,1
OK,5
Maintenance,3
OK,2
Maintenance,2
OK,8
Maintenance,2
OK,6
Maintenance,2
OK,8
Maintenance,2
OK,3
FAILED,1
OK,5
Maintenance,2
OK,23
Maintenance,1
OK,3
FAILED,1
OK,1
FAILED,1
Maintenance,1
FAILED,1
OK,8
FAILED,1
Maintenance,1
OK,24
Maintenance,2
OK,4
Maintenance,2
OK,26
Maintenance,2
OK,4
Maintenance,1
OK,17
Emergency Failure,1
OK,3
Maintenance,1
OK,12
FAILED,1
Maintenance,1
FAILED,1
Emergency Failure,3
Maintenance,2
OK,1
Emergency Failure,1
Maintenance,2
OK,12
Maintenance,1
OK,9
Maintenance,2
OK,15
Maintenance,1
OK,24
Maintenance,2
OK,2
Maintenance,2
OK,7
Maintenance,2
OK,8
Maintenance,2
OK,7
Maintenance,2
OK,9
Maintenance,2
OK,15
Maintenance,1
OK,6
Maintenance,1
OK,36
Maintenance,1
OK,31
Maintenance,1
OK,36
Maintenance,1
OK,44
Maintenance,1
OK,21
Maintenance,1
OK,23
Maintenance,1
OK,9
Maintenance,1
OK,7
Maintenance,1
OK,12
Maintenance,1
OK,17
Maintenance,1
OK,17
Maintenance,1
OK,3
